from,to,relation
कुंती,पांडू,Husband
सत्यवती,चित्रांगद,Son
सत्यवती,विचित्रवीर्य,Son
सत्यवती,कृष्ण द्वैपायन(व्यास),Son
विचित्रवीर्य,अंबिका,Wife
विचित्रवीर्य,अंबालिका,Wife
पराशर,कृष्ण द्वैपायन(व्यास),Son
अंबालिका,पांडू,Son
अंबिका,धृतराष्ट्र,Son
शंतनू,सत्यवती,Wife
शंतनू,चित्रांगद,Son
शंतनू,विचित्रवीर्य,Son
शंतनू,भीष्म,Son
कृष्ण द्वैपायन(व्यास),पांडू,Son
कृष्ण द्वैपायन(व्यास),धृतराष्ट्र,Son
इंद्र,अर्जुन,Son
कुंती,अर्जुन,Son
पांडू,कुंती,Wife
गंगा,भीष्म,Son
ब्रम्हा,मरीची,Son
मरीची,कश्यप,Son
कश्यप,विवस्वत,Son
विवस्वत,यमदेव,Son
यमदेव,मार्तंड,Son 
मार्तंड,वैवस्वत(मनु)Son 
वैवस्वत(मनु),इला,Son 
इला,पुरुरवस,Son
पुरुरवस,आयुष,Son
उर्वशी,आयुष,Son
आयुष,नहुष,Son
प्रभा,नहुष,Son
स्वरभानु,प्रभा,Daughter
प्रियवास,ययाति,Son
नहुष,ययाति,Son
ययाति,पुरु,Son
शुक्र,देवयानी,Daughter
अंगिरस,बृहस्पती,Son
बृहस्पती,कच,Son
वृषपर्व,शर्मिष्ठा,Daughter
